Company,Country,Region,Score,Status,Contact,Website,ISO 27001,ISO 14001,Employees,Revenue,Notes,Next Action,Last Touch
Second IT Store GmbH,Germany,DACH,82,Priority,remarketing@second-it.de,second-it.de,Yes,Yes,30,Unknown,Schwäbisch Hall. ISO 9001/14001/45001/27001. Blancco erasure. Own logistics (2023). eBay Award 2021. Perfect size.,Initial outreach,2026-02-06
Swiss Remarketing,Switzerland,DACH,76,Research,Via website,swissremarketing.com,,Yes,,Unknown,"Zürich. ISO 9001/14001/45001. Blancco Silver Partner. Microsoft Authorized Refurbisher. 3,000 sqm facility, 100K items/year. Clients: Nestlé, Swiss Post, Swiss Federal Gov.",Verify size/certs,2026-02-06
K&P Computer,Germany,DACH,75,Research,+49 6122 7071 0,kpc.de,Yes,,260,€10M,Wiesbaden. ISO 27001 + BSI. 260 employees is borderline size.,Verify tech gap,2026-02-05
AfB,Germany,DACH,70,Priority,TBD,afb-group.eu,Yes,Yes,,Unknown,Largest social enterprise ITAD in Europe. DE/AT/FR/SK presence.,Research contact,2026-02-15
BB-Net,Germany,DACH,70,Priority,TBD,bb-net.de,Yes,Yes,,Unknown,Strong German ITAD with own resale brand.,Research contact,2026-02-15
Bechtle Remarketing,Germany,DACH,70,Priority,TBD,bechtle.com,Yes,Yes,,Unknown,Part of major IT group. Enterprise reach across DACH.,Research contact,2026-02-15
EURATECH,Germany,DACH,70,Priority,info@euratech.de — info@euratech.de,euratech.de,Yes,,,Unknown,"TOP PROSPECT 82/100. Owner-operated, 5000m² facility, 100K assets/yr. Clients: Ratiodata, Landratsamt München.",Draft outreach,2026-02-12
MAK-IT Remarketing,Germany,DACH,70,Prospect,kontakt@mak-computer.com — kontakt@mak-computer.com,mak-computer.com,Yes,,,Unknown,"75/100. Small team, ISO 27001, B2B focused, Europe-wide ops.",Verify size,2026-02-12
Second IT,Germany,DACH,70,Prospect,TBD,second-it.de,,,,Unknown,"70/100. BSI-compliant, has online store. Needs size verification.",Verify size + platform,2026-02-12
IT Remarketing Austria,Austria,DACH,70,Prospect,TBD,itremarketing.at,,,,Unknown,"68/100. Small, DSGVO-compliant. Needs verification.",Verify size + contacts,2026-02-12
ReCircle Tech,Germany,DACH,,Research,"Mehmet Göksu (Düsseldorf), Tom Mairs (Berlin)",recircletech.com,,,,,Small team (2-10). Berlin+Brighton+Düsseldorf. GDPR compliant. Mehmet has RWTH background.,Draft outreach via info@,2026-02-20
Rnew ITAD,Poland,Eastern Europe,70,Research,kontakt@rnewitad.pl,rnewitad.pl,,,,Unknown,Osielsko (near Bydgoszcz). Polish ITAD. Need to verify size and certifications.,Research size and certs,2026-02-05
ITAD4U,Bulgaria,Eastern Europe,70,Priority,emea@itad4u.com — emea@itad4u.com,itad4u.com,,,,Unknown,STRATEGIC 70/100. Single partner for all Eastern Europe coverage.,Research contacts,2026-02-11
