Company,Country,Region,Status,Score,Size Score,Cert Score,Tech Gap Score,Market Score,Cap Score,Employees,Revenue EUR,ISO 27001,ISO 14001,R2,ADISA,Has Own Platform,Contact Name,Contact Email,Contact Phone,Relationship,Last Touch,Next Action,Notes
EasyRecycle ApS,Denmark,Nordics,Outreach,85,28,25,18,12,8,52,1700000,Yes,Yes,No,No,No,,,+45 28 22 20 00,Warm,2026-02-06,Kasper calling,"PRIORITY 1 PROSPECT. Frederikshavn. CVR 33581947. Founded 2011. ISO 9001/14001/27001/27701. EY Entrepreneur of Year 2024 nominee. GPS-tracked logistics. Perfect size. Kasper knows them - will call directly (2026-02-06)."
Remade in Sweden AB,Sweden,Nordics,Priority,82,30,23,18,11,8,18,1500000,Yes,Yes,No,No,No,,,info@remadeinsweden.se,Cold,2026-02-05,Initial outreach,"Org 559206-6962. Founded 2019. Spånga/Stockholm. ISO 9001/14001/27001. Amazon as customer. Focus on repair/refurb/resale. Small team - excellent fit. Environmental focus aligns with Returna."
ReuseIT Sweden AB,Sweden,Nordics,Research,75,20,20,15,12,8,34,18600000,Yes,Yes,No,No,No,Torsten Daniel Steneby,,+46 470 70 35 00,Cold,2026-02-05,Verify independence,"Org 559210-6404. Växjö. Revenue SEK 215M. Part of larger group (265 companies) - need to verify if this affects independence. Phoenix from Arrow Electronics ITAD closure 2019. Heritage since 1988. Claims 'leading Nordic ITAD'."
Revac AS,Norway,Nordics,Research,77,15,20,18,15,9,147,52000000,No,Yes,No,No,No,,,,"Certus customer",2026-02-05,Score and qualify,"Strong ITAD division (Revac REUSE). Uses YouWipe for erasure. Also has Swedish subsidiary Revac Sverige AB. Primarily e-waste recycler but solid enterprise ITAD capability."
EcoIT,Finland,Nordics,Research,65,25,15,15,10,8,Unknown,Unknown,Unknown,Unknown,No,No,No,,info@ecoit.fi,+358 9 7510 1500,Cold,2026-02-05,Research size and certs,"Finnish IT circular economy company. Phone 09 7510 1500. Focus on data security and reuse. Has custom ERP (built by Mekanismi). 93% reuse rate. Partnership with Pääkaupunkiseudun Kierrätyskeskus. Need to verify size and certifications."
K&P Computer,Germany,DACH,Research,75,18,22,15,12,8,260,10000000,Yes,Unknown,No,No,No,Karl-Peter Muenkel,info@kpc.de,+49 6122 7071 0,Cold,2026-02-05,Verify tech gap,"Founded 1985. Wiesbaden. ISO 27001 + BSI basic protection + GDPR. Full ITAD services. 260 employees borderline. Established player with strong compliance. Need to verify if they have own platform."
Renewtech,Netherlands,Western Europe,Research,78,25,18,18,10,7,76,28000000,Yes,Unknown,No,No,No,,info@renewtech.com,,Cold,2026-02-05,Research more,"Founded 2019. HQ Amsterdam (renewtech.de is German site). 76 employees. €28M revenue. ISO 9001. Focus on refurbished servers/storage. Good size for ITAD partnership."
Second IT Store GmbH,Germany,DACH,Priority,82,28,25,15,10,8,30,Unknown,Yes,Yes,No,No,No,,remarketing@second-it.de,+49 791 954 000-55,Cold,2026-02-06,Initial outreach,"Schwäbisch Hall. Founded 2011. ISO 9001/14001/45001/27001. BSI-compliant erasure with Blancco. Own logistics (since 2023). eBay Award 2021. Perfect size. Strong cert profile."
Gigacycle,United Kingdom,UK & Ireland,Priority,78,20,22,18,10,8,Unknown,Unknown,Unknown,Unknown,No,Yes,No,,,Via website,Cold,2026-02-06,Verify size,"Manchester. 28,000 sq ft facility. ADISA Distinction level. Clients: NHS, Government, FTSE 100, Education. Strong security focus. Needs employee count verification."
S2S Group,United Kingdom,UK & Ireland,Priority,77,25,18,18,10,8,125,Unknown,Unknown,Unknown,No,Unknown,No,,Via website,,Cold,2026-02-06,Verify certs,"Crawley, West Sussex. Est ~1994 (30+ years). 51-200 employees. ITAD, data erasure, refurbishment, WEEE recycling. Established player, good size."
Revertia,Spain,Southern Europe,Priority,76,22,18,18,12,8,Unknown,Unknown,Unknown,Unknown,No,No,No,,Via website,,Cold,2026-02-06,Verify size/certs,"Madrid & Galicia. Two facilities. Nationwide Spain coverage. RAEE management, ITAD, buyback, recycling. Environmental/ACV focus. Full documentation."
ATF Gaia,France,Western Europe,Priority,75,20,18,18,12,8,Unknown,Unknown,Unknown,Unknown,No,No,No,,Via website,,Cold,2026-02-06,Verify size/certs,"France. IT park buyback, reconditioning, resale, recycling. Works with enterprises and administrations. B2B focus."
Huiskes,Netherlands,Western Europe,Research,74,20,22,15,10,8,Unknown,Unknown,Unknown,Unknown,Yes,No,No,,Via website,,Cold,2026-02-06,Verify size,"Netherlands. R2v3 + e-Stewards certified (rare in Europe!). ITAD, metal/electronics recycling, reverse logistics. R2 positions for US multinational clients."
Secure-ITAD,United Kingdom,UK & Ireland,Research,72,18,20,15,12,8,Unknown,Unknown,Yes,Unknown,No,Yes,No,,Via website,,Cold,2026-02-06,Verify size,"UK (+ hubs in Ireland, Belgium, Germany). ISO 27001, GDPR, ADISA. Full ITAD, global remarketing network. Multi-country interesting."
Distruzione Documenti,Italy,Southern Europe,Research,70,18,20,15,10,8,Unknown,Unknown,Unknown,Unknown,No,Yes,No,,Via website,,Cold,2026-02-06,Verify size,"Italy. ADISA certified (unusual for Italy). ITAD, data erasure, RAEE disposal."
BIT4K,Italy,Southern Europe,Research,65,15,15,18,10,8,Unknown,Unknown,Unknown,Unknown,No,No,No,,Via website,,Cold,2026-02-06,Verify size/certs,"Italy. ITAD, refurbishment. Working on HP Renew, Dell, Microsoft certs. Smaller player - might be flexible."
